"project_id","dev_mode","rely","data","cplx","time","stor","virt","turn","acap","aexp","pcap","vexp","lexp","modp","tool","sced","loc","actual","time_factor","rely_factor","data_factor","cplx_factor","stor_factor","virt_factor","turn_factor","acap_factor","aexp_factor","pcap_factor","vexp_factor","lexp_factor","modp_factor","tool_factor","sced_factor","dev_mode_factor","actual_log","loc_log","actual_ln","loc_ln"
1,"embedded",0.88,1.16,0.7,1,1.06,1.15,1.07,1.19,1.13,1.17,1.1,1,1.24,1.1,1.04,113,2040,1,2,5,1,2,3,4,4,4,4,3,2,5,4,2,3,3.3096301674259,2.05307844348342,7.62070508683826,4.72738781871234
2,"embedded",0.88,1.16,0.85,1,1.06,1,1.07,1,0.91,1,0.9,0.95,1.1,1,1,293,1600,1,2,5,2,2,2,4,3,2,3,1,1,4,3,1,3,3.20411998265592,2.46686762035411,7.37775890822787,5.68017260901707
3,"semidetached",1,1.16,0.85,1,1,0.87,0.94,0.86,0.82,0.86,0.9,0.95,0.91,0.91,1,132,243,1,3,5,2,1,1,2,2,1,2,1,1,2,2,1,2,2.38560627359831,2.12057393120585,5.49306144334055,4.88280192258637
4,"organic",0.75,1.16,0.7,1,1,0.87,1,1.19,0.91,1.42,1,0.95,1.24,1,1.04,60,240,1,1,5,1,1,1,3,4,2,4,2,1,5,3,2,1,2.38021124171161,1.77815125038364,5.48063892334199,4.0943445622221
5,"organic",0.88,0.94,1,1,1,0.87,1,1,1,0.86,0.9,0.95,1.24,1,1,16,33,1,2,1,3,1,1,3,3,3,2,1,1,5,3,1,1,1.51851393987789,1.20411998265592,3.49650756146648,2.77258872223978
6,"organic",0.75,1,0.85,1,1.21,1,1,1.46,1,1.42,0.9,0.95,1.24,1.1,1,4,43,1,1,2,2,4,2,3,5,3,4,1,1,5,4,1,1,1.63346845557959,0.602059991327962,3.76120011569356,1.38629436111989
7,"organic",0.75,1,1,1,1,0.87,0.87,1,1,1,0.9,0.95,0.91,0.91,1,6.9,8,1,1,2,3,1,1,1,3,3,3,1,1,2,2,1,1,0.903089986991944,0.838849090737255,2.07944154167984,1.93152141160321
8,"embedded",1.15,0.94,1.3,1.66,1.56,1.3,1,0.71,0.91,1,1.21,1.14,1.1,1.1,1.08,22,1075,5,4,1,6,5,4,3,1,2,3,4,4,4,4,3,3,3.03140846425162,1.34242268082221,6.98007594056176,3.09104245335832
9,"embedded",1.15,0.94,1.3,1.3,1.21,1.15,1,0.86,1,0.86,1.1,1.07,0.91,1,1,30,423,4,4,1,6,4,3,3,2,3,2,3,3,2,3,1,3,2.62634036737504,1.47712125471966,6.04737217904628,3.40119738166216
10,"embedded",1.4,0.94,1.3,1.11,1.56,1,1.07,0.86,0.82,0.86,0.9,1,1,1,1,29,321,3,5,1,6,5,2,4,2,1,2,1,2,3,3,1,3,2.50650503240487,1.46239799789896,5.77144112313002,3.36729582998647
11,"embedded",1.4,0.94,1.3,1.11,1.56,1,1.07,0.86,0.82,0.86,0.9,1,1,1,1,32,218,3,5,1,6,5,2,4,2,1,2,1,2,3,3,1,3,2.3384564936046,1.50514997831991,5.38449506278909,3.46573590279973
12,"embedded",1.15,0.94,1.3,1.11,1.06,1,1,0.86,0.82,0.86,1,0.95,0.91,1,1.08,37,201,3,4,1,6,2,2,3,2,1,2,2,1,2,3,3,3,2.30319605742049,1.56820172406699,5.30330490805908,3.61091791264422
