RecordNumber,Unusual Flag,Nasa60?,ProjectID,PARENT,ELEMENT,Category,F or G,Center,Start Year,Language,New KLOC,Reused KLOC,Modified KLOC,Logical EKLOC,ACT_EFFORT,Model,prec,flex,resl,team,pmat,rely,cplx,data,ruse,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,sced,site,docu,Start Date,End Date,Delivered Logical KLOC,Physical Delivered KLOC,Ported KLOC,%DM,%CM,%IM,Actual Schedule,productivity per day,Physical EKLOC
1,0,1,A,AGSA,ADS,Avionics Monitoring,G,2,1979,"84.6% Fortran, 1.8% Assembly, 13.6% Gess",19.8,5.58,4.32,23.31,117.6,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/28/79,7/18/81,29.7,33,0,0,0,0,0,9.910714286,25.9
2,0,1,A,AGSB,ADS,Avionics Monitoring,G,2,1979,"83.8% Fortran, 2.6% Assembly, 13.6% Gess",18.9,5.4,3.69,22.14,117.6,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/27/79,7/18/81,27.99,31.1,0,0,0,0,0,9.413265306,24.6
3,0,1,A,AGSB,DAD,Avionics Monitoring,G,2,1979,"77.7% Fortran, 3.9% Assembly, 18.4% Gess",5.94,1.44,1.17,6.93,31.2,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/27/79,7/18/81,8.55,9.5,0,0,0,0,0,11.10576923,7.7
4,0,1,A,DE,ATD,Avionics Monitoring,G,2,1979,"99.8% Fortran, .2% Assembly",7.38,0.18,0,7.38,36,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/27/79,7/18/81,7.56,8.4,0,0,0,0,0,10.25,8.2
5,0,1,A,DE,C&P,Avionics Monitoring,G,2,1979,100% Fortran,8.28,0.63,0.63,8.73,25.2,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/27/79,7/18/81,9.54,10.6,0,0,0,0,0,17.32142857,9.7
6,0,1,A,DE,DTP,Avionics Monitoring,G,2,1979,"88.1% Fortran, 11.9% Gess",1.71,0.45,0.27,1.98,8.4,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/27/79,7/18/81,2.43,2.7,0,0,0,0,0,11.78571429,2.2
7,0,1,A,DE,SVP,Avionics Monitoring,G,2,1979,"87.9% Fortran, 12.1% Gess",2.25,0.09,1.8,3.15,10.8,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,12/27/79,7/18/81,4.14,4.6,0,0,0,0,0,14.58333333,3.5
8,0,1,B,ERB,AGS,Avionics Monitoring,G,2,1982,"84.5% Fortran, 1.4% Assembly, 14.1% Gess",57.15,6.48,2.34,59.94,352.8,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,6/1/82,4/6/84,65.97,73.3,0,0,0,0,0,8.494897959,66.6
9,0,1,C,Mission Design,STO,Mission Planning,G,1,1980,"SFTRAN, Fortran, Assembly",5.4,1.8,0,6.75,72,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1.63,1.46,0.87,0.85,0.88,1,0.88,1,0.91,1.09,1,0.93,1,1/1/80,1/1/88,7.2,8,0,0,0,0,0,4.6875,7.5
10,0,1,C,MSS,CGS,Mission Planning,G,1,1980,100% Univac Assembly,20,80,0,20,72,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.76,1,0.81,1,0.91,1.17,1,0.93,1,1/1/80,1/1/88,100,100,0,0,0,0,0,13.88888889,20
11,0,1,C,MSS,EC,Mission Planning,G,1,1984,Fortran77,5.4,0.45,0,5.67,24,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.81,1,0.91,1.17,1,0.93,1,1/1/84,1/9/88,5.85,6.5,0,0,0,0,0,11.8125,6
12,0,1,C,MSS,MCH,Mission Planning,G,1,1980,"90%Assembly, 10% Fortran",90,0,0,90,360,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.76,1,0.81,1,0.91,1.17,1,0.93,1,1/1/80,1/1/88,90,100,0,0,0,0,0,12.5,100
13,0,1,C,MSS,MSS Utilities,Mission Planning,G,1,1985,"95%PL1, 5%Assembly",7.5,7.5,0,11.3,36,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,1,1,0.81,1,1.09,1.17,1,0.93,1,1/1/85,1/1/87,15,15,0,0,0,0,0,15.69444444,11.3
14,0,1,C,MSS,POI,Mission Planning,G,1,1980,"Fortran, C",90,0,0,90,215,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,1.15,0.85,0.88,1,0.88,1.09,1.2,1.17,1,0.93,1,1/1/80,1/1/88,90,100,0,0,0,0,0,20.93023256,100
15,0,1,C,MSS,SPM,Mission Planning,G,1,1983,FORTRAN77,18,0,0,18,48,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.81,1,0.91,1.17,1,0.93,1,1/1/83,1/1/87,18,20,0,0,0,0,0,18.75,20
16,0,1,C,MSS,Sequence Components,Mission Planning,G,1,1982,Sequence Component Language,90,0,0,90,360,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,1,1,1,1,1.2,1.17,1,0.93,1,1/1/82,1/1/88,90,100,0,0,0,0,0,12.5,100
17,0,1,C,MSS,Sequence Generation,Mission Planning,G,1,1980,95%PL1 5% U1100 Assembly,112.5,0,0,112.5,324,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1.46,0.87,0.85,0.76,1,0.81,1,0.91,1.17,1,0.93,1,12/31/80,9/30/90,112.5,150,0,0,0,0,0,17.36111111,150
18,0,1,C,MSS,SoE,Mission Planning,G,1,1984,Var. dialects of Fortran,11.7,33.3,0,28.35,60,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1,1/1/84,1/1/86,45,50,0,0,0,0,0,23.625,31.5
19,0,1,C,MSS,SOP,Mission Planning,G,1,1983,"95%PL1, 5%Assembly",7.5,7.5,0,11.25,48,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1,0.87,0.85,0.88,1,0.81,1,0.91,1.17,1,0.93,1,1/1/83,1/1/85,15,20,0,0,0,0,0,11.71875,15
20,0,1,C,MSS,Timeline Generation,Mission Planning,G,1,1984,PL1 Assembly Fortran66,18.75,11.25,0,24.375,60,cocomoII,2.48,2.03,2.83,1.1,6.24,1,1.17,0.9,1,1,1.46,0.87,0.85,1,1,0.88,1,0.91,1.17,1,0.93,1,1/1/84,1/1/87,30,40,0,0,0,0,0,20.3125,32.5
21,0,1,D,Attitude,Attitude Control,Avionics Monitoring,G,2,1985,"55% comments, fortran?",33.75,0,11.25,17.73,60,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,8/1/85,9/1/88,45,50,0,0,0,0,0,14.775,19.7
22,0,1,D,Attitude,Determination,Avionics Monitoring,G,2,1985,"55% comments, fortran?",114.3,0,37.8,59.94,300,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,8/1/85,9/1/88,152.1,169,0,0,0,0,0,9.99,66.6
23,0,1,D,Attitude,Simulation,Simulation,G,2,1985,"55% comments, fortran?",50.67,0,16.83,26.55,120,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,2/1/85,1/1/87,67.5,75,0,0,0,0,0,11.0625,29.5
24,0,1,D,CMS,Input Processing,Monitor & control,G,2,1986,Fortran,13.5,0,0,13.5,90,cocomoII,2.48,2.03,2.83,1.1,6.24,1.1,1,1,1,1.11,1,1,1,0.88,1,0.88,1,1,1.17,1,0.93,1,10/21/86,1/29/88,13.5,15,0,0,0,0,0,7.5,15
